'Air Quality Statistics by City,2021'
'Note: The values shown are the highest among the sites in each area. Data from exceptional events are included.  This summary is not adequate in itself to numerically rank CBSAs according to their air quality.  The monitoring data represent the quality of air in the vicinity of the monitoring site and,for some pollutants,may not necessarily represent urban-wide air quality.  Based on data from AQS as of May 4,2022.'
Core Based Statistical Area (CBSA),2010 Population,CBSA Code,CO           8-hr (ppm),Pb          3-mo (µg/m3),NO2      AM (ppb),NO2          1-hr (ppb),O3            8-hr (ppm),PM10         24-hr (µg/m3) ,PM2.5         Wtd AM (µg/m3) ,PM2.5         24-hr (µg/m3) ,SO2         1-hr (ppb)
'Cape Coral-Fort Myers,FL',618754.00,15980.00,ND,ND,ND,ND,0.06,54.00,7.30,17.00,ND
'Carlsbad-Artesia,NM',53829.00,16100.00,ND,ND,5.00,31.00,0.08,ND,ND,ND,ND
'Carson City,NV',55274.00,16180.00,ND,ND,ND,ND,0.08,ND,12.00,124.00,ND
'Casper,WY',75450.00,16220.00,ND,ND,5.00,33.00,0.07,IN,4.60,22.00,9.00
'Cedar City,UT',46163.00,16260.00,ND,ND,6.00,35.00,0.07,ND,6.50,21.00,ND
'Cedar Rapids,IA',257940.00,16300.00,ND,ND,ND,ND,0.06,57.00,8.80,24.00,40.00
'Centralia,WA',75455.00,16500.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Chambersburg-Waynesboro,PA',149618.00,16540.00,ND,ND,ND,ND,0.06,ND,ND,ND,ND
'Champaign-Urbana,IL',231891.00,16580.00,0.00,ND,ND,ND,0.06,ND,8.50,21.00,3.00
'Charleston,WV',227078.00,16620.00,1.00,ND,ND,ND,0.07,ND,8.20,19.00,6.00
'Charleston-North Charleston,SC',664607.00,16700.00,ND,ND,IN,IN,0.06,40.00,9.50,20.00,9.00
'Charlotte-Concord-Gastonia,NC-SC',2217012.00,16740.00,1.00,ND,7.00,37.00,0.07,39.00,9.30,21.00,2.00
'Charlottesville,VA',218705.00,16820.00,ND,ND,ND,ND,0.06,ND,7.70,18.00,ND
'Chattanooga,TN-GA',528143.00,16860.00,ND,ND,ND,ND,0.06,ND,9.40,26.00,ND
'Cheyenne,WY',91738.00,16940.00,0.00,ND,3.00,29.00,0.07,63.00,5.20,29.00,4.00
'Chicago-Naperville-Elgin,IL-IN-WI',9461105.00,16980.00,1.00,0.03,17.00,54.00,0.08,166.00,10.80,27.00,73.00
'Chico,CA',220000.00,17020.00,1.00,ND,5.00,22.00,0.07,129.00,11.10,51.00,ND
'Cincinnati,OH-KY-IN',2114580.00,17140.00,2.00,ND,16.00,49.00,0.07,178.00,12.10,27.00,28.00
'Claremont-Lebanon,NH-VT',218466.00,17200.00,ND,ND,ND,ND,0.06,ND,6.00,16.00,ND
'Clarksburg,WV',94196.00,17220.00,ND,ND,ND,ND,ND,ND,7.40,17.00,ND
'Clarksville,TN-KY',260625.00,17300.00,ND,ND,ND,ND,0.06,ND,10.40,27.00,ND
'Clearlake,CA',64665.00,17340.00,ND,ND,ND,ND,0.05,49.00,6.30,34.00,ND
'Cleveland,MS',34145.00,17380.00,ND,ND,ND,ND,0.06,ND,8.20,17.00,ND
'Cleveland-Elyria,OH',2077240.00,17460.00,2.00,0.01,9.00,38.00,0.07,89.00,12.60,29.00,39.00
'Clinton,IA',49116.00,17540.00,ND,ND,ND,ND,0.06,ND,9.10,22.00,17.00
'Coeur d''Alene,ID',138494.00,17660.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'College Station-Bryan,TX',228660.00,17780.00,ND,ND,ND,ND,ND,ND,8.00,21.00,11.00
'Colorado Springs,CO',645613.00,17820.00,1.00,ND,ND,ND,0.08,39.00,6.00,21.00,10.00
'Columbia,MO',162642.00,17860.00,ND,ND,ND,ND,0.06,ND,IN,IN,ND
'Columbia,SC',767598.00,17900.00,1.00,ND,IN,IN,0.06,42.00,9.00,22.00,1.00
'Columbus,GA-AL',294865.00,17980.00,ND,IN,ND,ND,0.06,ND,11.10,35.00,ND
'Columbus,IN',76794.00,18020.00,ND,ND,ND,ND,0.06,ND,7.80,19.00,ND
'Columbus,MS',59779.00,18060.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Columbus,OH',1901974.00,18140.00,1.00,ND,10.00,47.00,0.06,32.00,9.90,24.00,2.00
'Concord,NH',146445.00,18180.00,ND,ND,ND,ND,0.06,ND,IN,IN,57.00
'Cookeville,TN',106042.00,18260.00,ND,ND,ND,ND,ND,ND,7.40,19.00,ND
'Corning,NY',98990.00,18500.00,0.00,ND,ND,ND,0.06,ND,6.40,17.00,1.00
'Corpus Christi,TX',428185.00,18580.00,ND,ND,ND,ND,0.07,43.00,8.70,21.00,3.00
'Corsicana,TX',47735.00,18620.00,ND,ND,2.00,23.00,0.07,ND,ND,ND,103.00
'Corvallis,OR',85579.00,18700.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Crawfordsville,IN',38124.00,18820.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Crescent City,CA',28610.00,18860.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Crestview-Fort Walton Beach-Destin,FL',235865.00,18880.00,ND,ND,ND,ND,0.06,38.00,ND,ND,ND
'Cullowhee,NC',40271.00,19000.00,ND,ND,ND,ND,ND,ND,7.20,20.00,ND
'Dallas-Fort Worth-Arlington,TX',6426214.00,19100.00,1.00,0.02,13.00,48.00,0.09,56.00,9.60,23.00,8.00
'Dalton,GA',142227.00,19140.00,ND,ND,ND,ND,0.06,ND,ND,ND,ND
'Danville,VA',106561.00,19260.00,ND,ND,2.00,15.00,ND,ND,ND,ND,ND
'Daphne-Fairhope-Foley,AL',182265.00,19300.00,ND,ND,ND,ND,0.06,ND,7.30,15.00,ND
'Davenport-Moline-Rock Island,IA-IL',379690.00,19340.00,1.00,ND,ND,ND,0.07,137.00,9.40,26.00,4.00
'Dayton,OH',799232.00,19380.00,0.00,ND,ND,ND,0.07,51.00,9.90,23.00,7.00
'Decatur,AL',153829.00,19460.00,ND,ND,ND,ND,0.06,ND,9.00,21.00,ND
'Decatur,IL',110768.00,19500.00,ND,ND,ND,ND,0.06,ND,10.20,24.00,52.00
'Deltona-Daytona Beach-Ormond Beach,FL',590289.00,19660.00,ND,ND,ND,ND,0.06,51.00,8.50,16.00,ND
'Deming,NM',25095.00,19700.00,ND,ND,ND,ND,ND,193.00,ND,ND,ND
'Denver-Aurora-Lakewood,CO',2543482.00,19740.00,2.00,ND,26.00,71.00,0.09,96.00,10.30,41.00,7.00
'Des Moines-West Des Moines,IA',569633.00,19780.00,ND,ND,6.00,34.00,0.06,54.00,8.30,23.00,ND
'Detroit-Warren-Dearborn,MI',4296250.00,19820.00,2.00,0.04,14.00,48.00,0.07,85.00,12.40,28.00,71.00
'Dickinson,ND',24199.00,19860.00,ND,ND,ND,ND,0.07,ND,5.40,27.00,6.00
'Dodge City,KS',33848.00,19980.00,ND,ND,ND,ND,ND,110.00,ND,ND,ND
'Dothan,AL',145639.00,20020.00,ND,ND,ND,ND,ND,ND,IN,IN,ND
'Douglas,GA',42356.00,20060.00,ND,ND,ND,ND,ND,ND,6.80,15.00,ND
'Dover,DE',162310.00,20100.00,ND,ND,ND,ND,0.07,ND,IN,IN,ND
'DuBois,PA',81642.00,20180.00,ND,ND,ND,ND,0.05,ND,ND,ND,ND
'Duluth,MN-WI',279771.00,20260.00,ND,0.01,5.00,IN,0.06,58.00,6.40,34.00,18.00
'Durango,CO',51334.00,20420.00,0.00,ND,5.00,23.00,0.07,92.00,5.80,47.00,ND
'Durham-Chapel Hill,NC',504357.00,20500.00,ND,ND,ND,ND,0.06,40.00,8.00,18.00,1.00
'Dyersburg,TN',38335.00,20540.00,ND,ND,ND,ND,ND,ND,8.10,22.00,ND
'Eagle Pass,TX',54258.00,20580.00,ND,ND,ND,ND,ND,ND,8.10,21.00,ND
'East Stroudsburg,PA',169842.00,20700.00,ND,ND,ND,ND,0.06,ND,IN,IN,ND
'Eau Claire,WI',161151.00,20740.00,ND,ND,ND,ND,0.07,72.00,9.40,31.00,ND
'Effingham,IL',34242.00,20820.00,ND,ND,ND,ND,0.06,ND,ND,ND,ND
